time,size
0.06401300430297852,52
0.24724602699279785,104
0.26674795150756836,94
0.9668750762939453,187
2.039669990539551,280
3.842453956604004,373
6.019989013671875,466
8.46900486946106,559
11.96601414680481,652
15.739677906036377,745
19.87264084815979,838
24.858586072921753,931
0.49268507957458496,156
0.4205281734466553,173
1.742272138595581,344
4.214125156402588,516
7.428472995758057,687
11.805047988891602,859
16.99620795249939,1030
23.78162407875061,1202
30.18062400817871,1373
38.41899490356445,1544
47.84935712814331,1716
0.9036209583282471,209
1.4181511402130127,261
2.0248770713806152,313
2.862828016281128,365
3.611299991607666,417
4.579029083251953,469
5.678786993026733,521
