time,size
0.00039887428283691406,59
0.000392913818359375,62
0.0005481243133544922,125
0.0009579658508300781,251
0.0020411014556884766,376
0.0027098655700683594,502
0.003545045852661133,627
0.0038747787475585938,331
0.0025179386138916016,753
0.004171133041381836,1004
0.005982160568237305,1130
0.0065119266510009766,1255
0.00545191764831543,93
0.0005440711975097656,354
0.002216815948486328,709
0.004236936569213867,1064
0.005693912506103516,1419
0.008858919143676758,1773
0.010194063186645508,2128
0.010771989822387695,2483
0.011049985885620117,2838
0.014950990676879883,3192
0.01674795150756836,3544
0.018774986267089844,125
0.001110076904296875,156
0.0012180805206298828,187
0.0013699531555175781,218
0.001577138900756836,250
0.0017211437225341797,281
0.0018420219421386719,312
