time,size
0.0005240440368652344,59
0.0007269382476806641,62
0.0008740425109863281,125
0.0012111663818359375,251
0.0022449493408203125,376
0.003432035446166992,502
0.0039000511169433594,627
0.0043599605560302734,331
0.0038270950317382812,753
0.005973100662231445,1004
0.00916600227355957,1130
0.010107994079589844,1255
0.006468057632446289,93
0.0018811225891113281,354
0.0029859542846679688,709
0.004932880401611328,1064
0.008949995040893555,1419
0.00904393196105957,1773
0.010570049285888672,2128
0.011661052703857422,2483
0.014028072357177734,2838
0.020103931427001953,3192
0.022946834564208984,3544
0.021332979202270508,125
0.002379894256591797,156
0.0024950504302978516,187
0.002763032913208008,218
0.0030231475830078125,250
0.0036859512329101562,281
0.00560307502746582,312
