small,medium,large,changes
0.067312956,0.212232113,0.402154922,100
0.098390102,0.448490858,1.048372984,200
0.160404921,0.71438098,1.4934659,300
0.220759153,0.957110882,2.14288497,400
0.279803038,1.321953058,2.900792122,500
0.362812042,1.61224699,3.685162067,600
0.443711042,1.966364861,4.53303504,700
0.490074873,2.360773802,5.700182915,800
0.559358835,2.861979961,7.322172165,900
0.654683113,3.251551867,10.36084008,1000
