time,size
0.000762939453125,52
0.001425027847290039,104
0.003370046615600586,94
0.006897926330566406,187
0.007066011428833008,280
0.009624958038330078,373
0.016628026962280273,466
0.015199899673461914,559
0.02204298973083496,652
0.022666215896606445,745
0.02416706085205078,838
0.027637004852294922,931
0.009670019149780273,156
0.005549192428588867,173
0.009309053421020508,344
0.01481318473815918,516
0.018851041793823242,687
0.02518916130065918,859
0.03608107566833496,1030
0.03289318084716797,1202
0.04175710678100586,1373
0.044547080993652344,1544
0.05794882774353027,1716
0.013478994369506836,209
0.003192901611328125,261
0.003849029541015625,313
0.00456690788269043,365
0.004909992218017578,417
0.005552053451538086,469
0.0061130523681640625,521
