time,size
0.0003070831298828125,52
0.00029087066650390625,104
0.0002009868621826172,94
0.0009551048278808594,187
0.0013911724090576172,280
0.0016770362854003906,373
0.002735137939453125,466
0.002537965774536133,559
0.002393007278442383,652
0.0025691986083984375,745
0.004177093505859375,838
0.0040149688720703125,931
0.005872964859008789,156
0.0004830360412597656,173
0.0009398460388183594,344
0.0014431476593017578,516
0.0019519329071044922,687
0.003818988800048828,859
0.004897117614746094,1030
0.003793954849243164,1202
0.007029056549072266,1373
0.007200956344604492,1544
0.00795602798461914,1716
0.009407997131347656,209
0.00045490264892578125,261
0.0005130767822265625,313
0.0005459785461425781,365
0.0004642009735107422,417
0.0006620883941650391,469
0.0006380081176757812,521
