small,medium,large,changes
0.001121998,0.000344038,0.00135994,100
0.000796795,0.001171827,0.002298117,200
0.001147985,0.001746893,0.003651857,300
0.000626087,0.003898144,0.005702019,400
0.001954079,0.003206968,0.007984877,500
0.001078129,0.003479004,0.009529829,600
0.001682043,0.002665997,0.013118982,700
0.001712799,0.005367994,0.013484001,800
0.002019882,0.005268097,0.01197505,900
0.002177954,0.005814075,0.015927076,1000
