time,size
0.10800814628601074,59
0.5121819972991943,62
0.37136316299438477,125
1.6449089050292969,251
3.6934010982513428,376
6.911927938461304,502
11.435392141342163,627
10.538962125778198,331
17.727211952209473,753
35.146488904953,1004
46.715270042419434,1130
60.37783193588257,1255
1.3498539924621582,93
1.0524849891662598,354
4.526275157928467,709
11.580456018447876,1064
18.850844144821167,1419
31.119194984436035,1773
46.104751110076904,2128
66.55574107170105,2483
89.55213809013367,2838
115.45744490623474,3192
143.39288902282715,3544
2.9941179752349854,125
5.516956090927124,156
9.335962057113647,187
12.449298858642578,218
17.950114011764526,250
24.686153888702393,281
33.97382688522339,312
