small,medium,large,changes
0.064500093,0.373910904,1.119576931,100
0.273137093,1.37522006,4.478356123,200
0.649307966,3.264555216,10.41852093,300
0.903649092,5.46864295,17.58956289,400
1.60572505,8.947450876,27.41653705,500
2.380275011,4.728188992,39.56631398,600
3.971048117,12.85041404,54.65459991,700
3.783859015,21.74433303,69.14474392,800
5.275768995,28.6435802,89.07084394,900
6.457698107,35.01649404,111.9903991,1000
