small,medium,large,changes
0.008716106,0.038787842,0.093658924,100
0.019675016,0.084767103,0.157828093,200
0.030425072,0.126429081,0.2292099,300
0.041413069,0.156643867,0.296664,400
0.059037209,0.207872868,0.369062901,500
0.05984807,0.256033897,0.457137108,600
0.077672005,0.282316923,0.547460079,700
0.081347942,0.323389053,0.604208946,800
0.092324972,0.362205029,0.700217009,900
0.110085011,0.423629045,0.77213192,1000
