small,medium,large,changes
0.000247002,0.086743116,0.16855216,100
0.000287056,0.173058033,0.33661294,200
0.000351055,0.233227825,0.450406981,300
0.000418084,0.346236038,0.688640928,400
0.000592844,0.42198987,0.820421124,500
0.000633955,0.513736868,0.911369038,600
0.000734058,0.694882154,1.359303951,700
0.00085892,0.89919987,1.499112082,800
0.000980003,0.968210125,1.615741005,900
0.001045942,0.990841909,1.8779912,999
