time,versions,size
0.064105988,100,178
0.129670143,200,353
0.19672513,300,529
0.263196945,400,704
0.326907158,500,880
0.395744085,600,1126
0.483844995,700,1228
0.556648016,800,1433
0.645948172,900,1638
0.741145849,999,1843
