time,versions,size
0.030709028,100,96
0.061376095,200,192
0.093361855,300,287
0.138422012,400,382
0.156569004,500,477
0.200918913,600,573
0.245298862,700,668
0.26848793,800,763
0.328752995,900,858
0.340404034,999,954
