time,versions
0.004672050476074219,100
0.009557962417602539,200
0.015220880508422852,300
0.01743316650390625,400
0.021079063415527344,500
0.025583982467651367,600
0.02950310707092285,700
0.03325319290161133,800
0.04641008377075195,900
0.04575705528259277,999
